Job_ID,Order_ID,Job_Status,Start_Time,Estimated_End_Time,Actual_End_Time,Resources_Available,Dependencies,Location,Delay_Flag,Delay_Reason
J1000,O5449,Completed,2025-07-12 07:00:00,2025-07-12 19:00:00,2025-07-12 18:00:00,No,,Mumbai,0,
J1001,O5154,Completed,2025-07-17 04:00:00,2025-07-17 11:00:00,2025-07-17 11:28:00,No,,Mumbai,1,Dependency delay
J1002,O5398,In_Progress,2025-07-30 01:00:00,2025-07-30 10:00:00,,Yes,,Mumbai,0,
J1003,O5409,Completed,2025-07-29 08:00:00,2025-07-29 15:00:00,2025-07-29 14:48:00,Yes,,Bengaluru,0,
J1004,O5247,In_Progress,2025-07-28 08:00:00,2025-07-28 16:00:00,,Yes,,Hyderabad,0,
J1005,O5073,Completed,2025-07-27 08:00:00,2025-07-27 19:00:00,2025-07-27 18:52:00,Yes,J1000,Delhi,0,
J1006,O5235,In_Progress,2025-07-23 08:00:00,2025-07-23 14:00:00,,Yes,J1000,Bengaluru,0,
J1007,O5351,Completed,2025-07-28 01:00:00,2025-07-28 09:00:00,2025-07-28 10:59:00,Yes,J1006,Chennai,1,Resource shortage
J1008,O5337,Completed,2025-07-10 00:00:00,2025-07-10 10:00:00,2025-07-10 11:19:00,No,,Hyderabad,1,Equipment failure
J1009,O5098,Completed,2025-07-09 08:00:00,2025-07-09 16:00:00,2025-07-09 15:11:00,Yes,,Pune,0,
J1010,O5060,Not_Started,2025-07-05 02:00:00,2025-07-05 10:00:00,,Yes,J1009,Pune,0,
J1011,O5286,Completed,2025-07-04 03:00:00,2025-07-04 13:00:00,2025-07-04 12:38:00,Yes,,Chennai,0,
J1012,O5138,Completed,2025-07-31 04:00:00,2025-07-31 14:00:00,2025-07-31 13:45:00,Yes,J1004,Mumbai,0,
J1013,O5313,Completed,2025-07-18 07:00:00,2025-07-18 13:00:00,2025-07-18 12:52:00,Yes,J1010,Pune,0,
J1014,O5025,Not_Started,2025-07-13 00:00:00,2025-07-13 06:00:00,,Yes,,Delhi,0,
J1015,O5091,Not_Started,2025-07-20 07:00:00,2025-07-20 17:00:00,,Yes,,Hyderabad,0,
J1016,O5170,In_Progress,2025-07-23 08:00:00,2025-07-23 14:00:00,,Yes,,Mumbai,0,
J1017,O5386,In_Progress,2025-07-19 02:00:00,2025-07-19 08:00:00,,Yes,,Bengaluru,0,
